nx;np;type;time
10000;12;TBB;0.0396759
10000;12;TBBRange;0.0333955
10000;16;TBB;0.0436618
10000;16;TBBRange;0.0309181
10000;1;TBB;0.21705
10000;1;TBBRange;0.213264
10000;24;TBB;0.0284429
10000;24;TBBRange;0.0283466
10000;2;TBB;0.139459
10000;2;TBBRange;0.103945
10000;4;TBB;0.0563057
10000;4;TBBRange;0.0531192
10000;8;TBB;0.0366195
10000;8;TBBRange;0.0316063
1000;12;TBB;0.013256
1000;12;TBBRange;0.000440727
1000;16;TBB;0.00873611
1000;16;TBBRange;0.000760516
1000;1;TBB;0.001969
1000;1;TBBRange;0.00211239
1000;24;TBB;0.000400311
1000;24;TBBRange;0.000422373
1000;2;TBB;0.00130408
1000;2;TBBRange;0.0012108
1000;4;TBB;0.000759669
1000;4;TBBRange;0.000699822
1000;8;TBB;0.000472631
1000;8;TBBRange;0.000609791
100;12;TBB;0.00820402
100;12;TBBRange;0.000338188
100;16;TBB;0.0133344
100;16;TBBRange;8.3479e-05
100;1;TBB;7.8019e-05
100;1;TBBRange;7.201e-05
100;24;TBB;8.3985e-05
100;24;TBBRange;0.000104088
100;2;TBB;6.9544e-05
100;2;TBBRange;6.9806e-05
100;4;TBB;5.9555e-05
100;4;TBBRange;6.9001e-05
100;8;TBB;6.4777e-05
100;8;TBBRange;5.1757e-05
10;12;TBB;0.000217536
10;12;TBBRange;3.5816e-05
10;16;TBB;5.427e-05
10;16;TBBRange;3.4165e-05
10;1;TBB;1.7039e-05
10;1;TBBRange;1.4781e-05
10;24;TBB;5.6056e-05
10;24;TBBRange;7.1767e-05
10;2;TBB;0.000213128
10;2;TBBRange;4.1334e-05
10;4;TBB;6.3745e-05
10;4;TBBRange;6.7576e-05
10;8;TBB;5.7929e-05
10;8;TBBRange;8.627e-05
1;12;TBB;5.0381e-05
1;12;TBBRange;1.286e-05
1;16;TBB;3.5261e-05
1;16;TBBRange;9.645e-06
1;1;TBB;0.00159765
1;1;TBBRange;7.526e-06
1;24;TBB;8.7723e-05
1;24;TBBRange;1.8175e-05
