Kmeans, Time(ms),Nb_Proc
1,340,1
2,970,1
4,3185,1
8,4652,1
12,8082,1
16,26538,1
24,34656,1
28,61735,1
32,57192,1
36,59735,1
40,88496,1
1,342,2
2,672,2
4,1892,2
8,2651,2
12,4474,2
16,14277,2
24,18525,2
28,32853,2
32,30508,2
36,31541,2
40,47222,2
1,319,4
2,471,4
4,1081,4
8,1458,4
12,2385,4
16,7323,4
24,9479,4
28,16783,4
32,15622,4
36,16430,4
40,24412,4
1,319,4
2,471,4
4,1081,4
8,1458,4
12,2385,4
16,7323,4
24,9479,4
28,16783,4
32,15622,4
36,16430,4
40,24412,4
1,299,8
2,376,8
4,690,8
8,882,8
12,1350,8
16,3870,8
24,4963,8
28,8687,8
32,8035,8
36,8726,8
40,12369,8
1,309,12
2,356,12
4,555,12
8,683,12
12,997,12
16,2685,12
24,3473,12
28,6174,12
32,5519,12
36,8016,12
40,8441,12
1,364,16
2,554,16
4,551,16
8,1554,16
12,1505,16
16,3160,16
24,3339,16
28,5609,16
32,6494,16
36,9140,16
40,11895,16
1,653,24
2,590,24
4,678,24
8,894,24
12,2051,24
16,2276,24
24,5558,24
28,4856,24
32,8981,24
36,7061,24
40,4928,24
