nRows, nbCores,time, computeTime,communicationTime,reductionTime,
50,1,7.15256e-06,0,1.28746e-05,2.09808e-05,
100,1,1.28746e-05,0,9.05991e-06,2.19345e-05,
150,1,7.48634e-05,9.53674e-07,1.81198e-05,9.48906e-05,
200,1,0.000133991,0,1.78814e-05,0.000151873,
1000,1,0.00145602,0,1.5974e-05,0.00147295,
2000,1,0.0058918,0,2.59876e-05,0.00591898,
5000,1,0.0397401,0,2.59876e-05,0.0397661,
10000,1,0.155321,0,2.59876e-05,0.155347,
50,2,2.14577e-06,0.000117779,2.5034e-05,0.000144958,
100,2,1.81198e-05,0.000339985,6.19888e-05,0.000421047,
150,2,3.29018e-05,0.000355005,7.20024e-05,0.000461102,
200,2,6.29425e-05,0.000498056,0.000102043,0.000663042,
1000,2,0.00070405,0.00118399,0.000617981,0.00250697,
2000,2,0.00288391,0.00482106,0.00289011,0.0105951,
5000,2,0.0205891,0.0301061,0.01649,0.0671871,
10000,2,0.08198,0.164489,0.0742359,0.320706,
50,4,4.05312e-06,0.000363827,5.29289e-05,0.000422001,
100,4,4.05312e-06,0.00039196,4.81606e-05,0.000445127,
150,4,2.09808e-05,0.000476122,9.799e-05,0.000596046,
200,4,1.40667e-05,0.00105691,5.19753e-05,0.00112414,
1000,4,0.000365973,0.00274396,0.000366211,0.00347614,
2000,4,0.00143409,0.00733209,0.00148582,0.010253,
5000,4,0.0100329,0.0377841,0.00899982,0.056818,
10000,4,0.040091,0.144598,0.039151,0.223841,
50,8,1.19209e-06,0.000362873,4.91142e-05,0.000415087,
100,8,2.86102e-06,0.000407219,5.10216e-05,0.000462055,
150,8,4.76837e-06,0.000444174,5.31673e-05,0.000503063,
200,8,8.10623e-06,0.000499964,6.50883e-05,0.000573158,
1000,8,0.000335932,0.00332022,0.000314951,0.0039711,
2000,8,0.000745058,0.00768209,0.000974894,0.00940204,
5000,8,0.00522399,0.041589,0.00485396,0.051667,
10000,8,0.0240948,0.160578,0.0243318,0.209005,
50,12,9.53674e-07,0.000376225,5.38826e-05,0.000431061,
100,12,1.90735e-06,0.000387192,6.8903e-05,0.000458002,
150,12,5.00679e-06,0.001302,7.79629e-05,0.00138617,
200,12,6.91414e-06,0.00125599,6.29425e-05,0.0013268,
1000,12,0.000136137,0.0031209,0.0001719,0.00342894,
2000,12,0.000525951,0.00796103,0.000633001,0.00912309,
5000,12,0.00405598,0.0424221,0.00354004,0.0500181,
10000,12,0.0225499,0.172274,0.018719,0.213546,
50,16,1.90735e-06,0.000530243,6.98566e-05,0.000602961,
100,16,3.09944e-06,0.000442982,9.60827e-05,0.000542164,
150,16,4.05312e-06,0.00129104,0.000101089,0.00139618,
200,16,1.19209e-05,0.00173402,7.51019e-05,0.00182199,
1000,16,0.000186205,0.00403166,0.000280142,0.0044992,
2000,16,0.000661135,0.00905371,0.000781059,0.0104978,
5000,16,0.00654984,0.0481231,0.00433302,0.059006,
10000,16,0.015975,0.11919,0.0968301,0.231996,
50,24,9.53674e-07,0.000629902,0.000247002,0.000880003,
100,24,3.09944e-06,0.00060606,0.000333786,0.000942945,
150,24,5.00679e-06,0.00068593,0.000138044,0.000829935,
200,24,8.82149e-06,0.00180411,0.000113964,0.00192809,
1000,24,8.89301e-05,0.003824,0.000328064,0.00424194,
2000,24,0.000525951,0.010951,0.000795841,0.012274,
5000,24,0.00787306,0.051537,0.00513792,0.0645499,
10000,24,0.059747,0.324772,0.027247,0.411768,
