mode,nRows,nCols,nChannels,nCentroids,nIterations,time,timePerCycle,nbCores,
mpi,128,128,3,3,4,0.00472999,0.0011825,2,
mpi,128,128,3,7,11,0.0169101,0.00153728,2,
mpi,128,128,3,13,7,0.015413,0.00220186,2,
mpi,128,128,3,23,9,0.0258601,0.00287334,2,
mpi,128,128,3,3,5,0.00351,0.000702,4,
mpi,128,128,3,7,14,0.00769186,0.000549419,4,
mpi,128,128,3,13,10,0.0119858,0.00119858,4,
mpi,128,128,3,23,10,0.012377,0.0012377,4,
mpi,128,128,3,3,3,0.00201011,0.000670036,6,
mpi,128,128,3,7,24,0.0114388,0.000476619,6,
mpi,128,128,3,13,15,0.010994,0.000732931,6,
mpi,128,128,3,23,15,0.0138671,0.000924476,6,
mpi,128,128,3,3,18,0.00407505,0.000226392,8,
mpi,128,128,3,7,31,0.00858903,0.000277065,8,
mpi,128,128,3,13,16,0.00809717,0.000506073,8,
mpi,128,128,3,23,22,0.013289,0.000604044,8,
mpi,128,128,3,3,10,0.00272799,0.000272799,12,
mpi,128,128,3,7,41,0.011596,0.000282828,12,
mpi,128,128,3,13,12,0.00560713,0.000467261,12,
mpi,128,128,3,23,12,0.00864482,0.000720402,12,
mpi,128,128,3,3,3,0.00171709,0.000572364,24,
mpi,128,128,3,7,8,0.00381804,0.000477254,24,
mpi,128,128,3,13,14,0.00805807,0.000575577,24,
mpi,128,128,3,23,11,0.0127418,0.00115835,24,
mpi,642,646,3,3,4,0.080415,0.0201038,2,
mpi,642,646,3,7,14,0.342679,0.0244771,2,
mpi,642,646,3,13,16,0.545948,0.0341218,2,
mpi,642,646,3,23,14,0.725776,0.0518412,2,
mpi,642,646,3,3,5,0.051424,0.0102848,4,
mpi,642,646,3,7,16,0.192332,0.0120208,4,
mpi,642,646,3,13,18,0.310994,0.0172774,4,
mpi,642,646,3,23,14,0.369433,0.0263881,4,
mpi,642,646,3,3,6,0.0779049,0.0129842,6,
mpi,642,646,3,7,11,0.094589,0.008599,6,
mpi,642,646,3,13,6,0.0797389,0.0132898,6,
mpi,642,646,3,23,15,0.269414,0.0179609,6,
mpi,642,646,3,3,16,0.0865631,0.00541019,8,
mpi,642,646,3,7,8,0.05476,0.006845,8,
mpi,642,646,3,13,12,0.112557,0.00937974,8,
mpi,642,646,3,23,22,0.303014,0.0137734,8,
mpi,642,646,3,3,9,0.0333982,0.00371091,12,
mpi,642,646,3,7,9,0.048136,0.00534844,12,
mpi,642,646,3,13,6,0.04951,0.00825167,12,
mpi,642,646,3,23,5,0.0585141,0.0117028,12,
mpi,642,646,3,3,7,0.047236,0.006748,24,
mpi,642,646,3,7,10,0.0960889,0.00960889,24,
mpi,642,646,3,13,14,0.157451,0.0112465,24,
mpi,642,646,3,23,10,0.189038,0.0189038,24,
mpi,1440,1920,3,3,6,0.738576,0.123096,2,
mpi,1440,1920,3,7,14,2.23685,0.159775,2,
mpi,1440,1920,3,13,16,3.80671,0.237919,2,
mpi,1440,1920,3,23,21,7.10316,0.338246,2,
mpi,1440,1920,3,3,5,0.325897,0.0651794,4,
mpi,1440,1920,3,7,10,0.857467,0.0857467,4,
mpi,1440,1920,3,13,13,1.5482,0.119092,4,
mpi,1440,1920,3,23,19,3.31074,0.17425,4,
mpi,1440,1920,3,3,10,0.41511,0.041511,6,
mpi,1440,1920,3,7,10,0.569339,0.0569339,6,
mpi,1440,1920,3,13,23,1.78276,0.0775114,6,
mpi,1440,1920,3,23,29,3.4806,0.120021,6,
mpi,1440,1920,3,3,10,0.310347,0.0310347,8,
mpi,1440,1920,3,7,39,1.53967,0.0394787,8,
mpi,1440,1920,3,13,24,1.41252,0.0588551,8,
mpi,1440,1920,3,23,26,2.31503,0.0890398,8,
mpi,1440,1920,3,3,15,0.32019,0.021346,12,
mpi,1440,1920,3,7,9,0.2813,0.0312556,12,
mpi,1440,1920,3,13,10,0.417803,0.0417803,12,
mpi,1440,1920,3,23,25,1.55737,0.0622948,12,
mpi,1440,1920,3,3,10,0.382909,0.0382909,24,
mpi,1440,1920,3,7,12,0.642798,0.0535665,24,
mpi,1440,1920,3,13,25,1.74408,0.0697632,24,
mpi,1440,1920,3,23,32,3.41561,0.106738,24,
mpi,2250,4256,3,3,8,3.66363,0.457954,2,
mpi,2250,4256,3,7,40,21.4069,0.535172,2,
mpi,2250,4256,3,13,11,9.18888,0.835353,2,
mpi,2250,4256,3,23,14,17.0631,1.21879,2,
mpi,2250,4256,3,3,12,2.46687,0.205573,4,
mpi,2250,4256,3,7,7,2.19945,0.314206,4,
mpi,2250,4256,3,13,18,7.40975,0.411653,4,
mpi,2250,4256,3,23,10,6.4046,0.64046,4,
mpi,2250,4256,3,3,11,1.2378,0.112527,8,
mpi,2250,4256,3,7,17,2.49941,0.147024,8,
mpi,2250,4256,3,13,9,2.01463,0.223847,8,
mpi,2250,4256,3,23,10,3.28855,0.328855,8,
mpi,2250,4256,3,3,6,0.503618,0.0839363,12,
mpi,2250,4256,3,7,9,0.948581,0.105398,12,
mpi,2250,4256,3,13,9,1.35891,0.15099,12,
mpi,2250,4256,3,23,21,4.46832,0.212777,12,
mpi,2250,4256,3,3,14,1.25378,0.0895555,24,
mpi,2250,4256,3,7,14,2.38376,0.170268,24,
mpi,2250,4256,3,13,10,1.65544,0.165544,24,
mpi,2250,4256,3,23,7,2.35148,0.335925,24,
