nx;np;num_p;time
50;1;0;0.00686794
100;1;0;0.0982318
150;1;0;0.498287
200;1;0;1.71848
50;2;0;0.0032838
50;2;1;0.00343535
100;2;1;0.0523448
100;2;0;0.0521111
150;2;1;0.259913
150;2;0;0.258441
200;2;1;0.840858
200;2;0;0.83133
50;4;2;0.0018339
50;4;3;0.00175909
50;4;0;0.00155641
50;4;1;0.00189895
100;4;3;0.0281891
100;4;0;0.0261673
100;4;2;0.0255085
100;4;1;0.0287888
150;4;1;0.142886
150;4;3;0.142935
150;4;0;0.129375
150;4;2;0.129998
200;4;0;0.425394
200;4;2;0.414839
200;4;3;0.453541
200;4;1;0.453428
50;8;2;0.000978899
50;8;1;0.000992421
50;8;0;0.000821306
50;8;3;0.000980859
50;8;4;0.000978315
50;8;5;0.00093932
50;8;6;0.00092836
50;8;7;0.000898827
100;8;5;0.0151545
100;8;0;0.0136893
100;8;1;0.0148435
100;8;7;0.0148378
100;8;2;0.0143076
100;8;3;0.0150556
100;8;4;0.0142652
100;8;6;0.0142678
150;8;7;0.0733913
150;8;4;0.0706502
150;8;1;0.0733891
150;8;0;0.0687298
150;8;6;0.0706209
150;8;5;0.073562
150;8;2;0.0705449
150;8;3;0.0734901
200;8;1;0.235118
200;8;7;0.235305
200;8;6;0.225397
200;8;2;0.22578
200;8;3;0.235058
200;8;5;0.235369
200;8;0;0.217401
200;8;4;0.22535
50;12;10;0.000620001
50;12;5;0.000688119
50;12;2;0.000690415
50;12;3;0.000691062
50;12;7;0.000666024
50;12;8;0.000662374
50;12;1;0.000686597
50;12;11;0.00062533
50;12;6;0.000663478
50;12;0;0.00054777
50;12;4;0.000683303
50;12;9;0.000640221
100;12;1;0.0108026
100;12;3;0.0106482
100;12;11;0.0105189
100;12;4;0.0100864
100;12;7;0.0106527
100;12;9;0.0108799
100;12;0;0.00961909
100;12;2;0.0102304
100;12;5;0.0105552
100;12;6;0.010285
100;12;10;0.0100628
100;12;8;0.010073
150;12;2;0.0503948
150;12;7;0.0526048
