nx;np;num_p;time
50;1;0;1.59491e-05
100;1;0;6.20899e-05
150;1;0;0.000135291
200;1;0;0.000240886
50;2;0;8.18307e-06
50;2;1;8.36095e-06
100;2;0;3.2505e-05
100;2;1;3.5804e-05
150;2;0;7.2568e-05
150;2;1;7.28159e-05
200;2;0;0.000128102
200;2;1;0.000129186
50;4;1;4.64008e-06
50;4;2;7.18306e-06
50;4;3;4.8012e-06
50;4;0;4.17302e-06
100;4;0;1.64129e-05
100;4;1;1.79191e-05
100;4;2;1.68001e-05
100;4;3;1.76399e-05
150;4;0;3.6208e-05
150;4;2;3.65779e-05
150;4;3;4.7643e-05
150;4;1;5.11259e-05
200;4;1;7.05761e-05
200;4;3;6.91181e-05
200;4;2;6.2969e-05
200;4;0;6.21411e-05
50;8;0;2.24402e-06
50;8;1;2.48011e-06
50;8;2;2.51201e-06
50;8;4;2.468e-06
50;8;5;2.51015e-06
50;8;6;2.58884e-06
50;8;7;2.71085e-06
50;8;3;2.47988e-06
100;8;7;8.7691e-06
100;8;0;8.81404e-06
100;8;1;9.14698e-06
100;8;2;9.19704e-06
100;8;3;8.90414e-06
100;8;4;9.07108e-06
100;8;5;9.03988e-06
100;8;6;9.12091e-06
150;8;1;2.00521e-05
150;8;4;1.96318e-05
150;8;5;1.96761e-05
150;8;7;1.98469e-05
150;8;0;1.96749e-05
150;8;2;2.0083e-05
150;8;3;1.96891e-05
150;8;6;1.96979e-05
200;8;6;3.5048e-05
200;8;5;3.715e-05
200;8;7;3.60571e-05
200;8;0;3.44811e-05
200;8;1;3.85481e-05
200;8;2;3.5716e-05
200;8;3;3.73952e-05
200;8;4;3.58529e-05
50;12;11;1.69897e-06
50;12;5;1.75089e-06
50;12;9;1.8389e-06
50;12;3;1.76718e-06
50;12;10;5.2975e-05
50;12;4;1.78884e-06
50;12;1;2.0992e-06
50;12;0;1.61002e-06
50;12;8;1.74879e-06
50;12;6;1.75508e-06
50;12;2;1.78092e-06
50;12;7;1.79e-06
100;12;2;6.09714e-06
100;12;6;6.13392e-06
100;12;4;6.05104e-06
100;12;0;5.84894e-06
100;12;3;6.23288e-06
100;12;5;6.0359e-06
100;12;1;6.33113e-06
100;12;9;6.05686e-06
100;12;8;6.12903e-06
100;12;7;6.07199e-06
100;12;11;6.02705e-06
100;12;10;6.12298e-06
150;12;7;1.3361e-05
150;12;9;1.33719e-05
150;12;3;1.33631e-05
150;12;1;1.34779e-05
150;12;0;1.42609e-05
150;12;2;1.3514e-05
150;12;4;1.33591e-05
150;12;10;1.3666e-05
150;12;5;1.43582e-05
150;12;11;1.31249e-05
150;12;8;1.35049e-05
150;12;6;1.3422e-05
200;12;1;2.4478e-05
200;12;0;2.3081e-05
200;12;2;2.60461e-05
200;12;3;2.5237e-05
200;12;5;2.3585e-05
200;12;6;2.42679e-05
200;12;7;2.70051e-05
200;12;9;2.3728e-05
200;12;10;2.40339e-05
200;12;8;2.4128e-05
200;12;11;2.3193e-05
200;12;4;2.4263e-05
50;16;2;1.43098e-06
50;16;0;1.2191e-06
50;16;11;1.53109e-06
50;16;4;1.4999e-06
50;16;13;1.78395e-06
50;16;9;1.40094e-06
50;16;12;1.3581e-06
50;16;5;1.45915e-06
50;16;1;1.37207e-06
50;16;8;1.87289e-06
50;16;10;1.81003e-06
50;16;15;1.40001e-06
50;16;3;1.38697e-06
50;16;14;1.40397e-06
50;16;7;2.18209e-06
50;16;6;1.41189e-06
100;16;4;4.69293e-06
100;16;14;4.56697e-06
100;16;6;7.26292e-06
100;16;0;4.47803e-06
100;16;7;5.26803e-06
100;16;1;4.99887e-06
100;16;15;4.51901e-06
100;16;12;7.79703e-06
100;16;9;7.24592e-06
100;16;13;4.6168e-06
100;16;10;4.59095e-06
100;16;8;5.33508e-06
100;16;2;5.35999e-06
100;16;11;4.61703e-06
100;16;3;4.62099e-06
100;16;5;4.59305e-06
150;16;14;1.0212e-05
150;16;15;1.01549e-05
150;16;9;1.38979e-05
150;16;0;9.69297e-06
150;16;13;1.06879e-05
150;16;10;1.02941e-05
150;16;5;1.4025e-05
150;16;7;1.02071e-05
150;16;6;1.02059e-05
150;16;1;1.04732e-05
150;16;3;1.0781e-05
150;16;4;1.4174e-05
150;16;12;1.01279e-05
150;16;11;1.03388e-05
150;16;8;1.43552e-05
150;16;2;1.42872e-05
200;16;6;1.76639e-05
200;16;10;1.77699e-05
200;16;14;1.76951e-05
200;16;3;2.49168e-05
200;16;7;2.4782e-05
200;16;0;1.8565e-05
200;16;12;1.80949e-05
200;16;4;1.7728e-05
200;16;8;1.81301e-05
200;16;5;2.70191e-05
200;16;11;1.77249e-05
200;16;1;2.88961e-05
200;16;2;2.63439e-05
200;16;15;1.7606e-05
200;16;9;1.7927e-05
200;16;13;2.49241e-05
50;24;0;9.15024e-07
50;24;12;1.08895e-06
50;24;6;1.07498e-06
50;24;1;1.19978e-06
50;24;9;1.16113e-06
50;24;3;1.13598e-06
