nx;np;num_p;time
50;1;0;1.6034e-05
100;1;0;6.0864e-05
150;1;0;0.000136083
200;1;0;0.000241667
50;2;1;8.846e-06
50;2;0;8.883e-06
100;2;1;3.1701e-05
100;2;0;3.1644e-05
150;2;1;7.2717e-05
150;2;0;7.1556e-05
200;2;1;0.000126349
200;2;0;0.00012561
50;4;3;5.04e-06
50;4;0;4.529e-06
50;4;1;5.079e-06
50;4;2;4.556e-06
100;4;2;1.6236e-05
100;4;3;1.9158e-05
100;4;0;1.6045e-05
100;4;1;1.9275e-05
150;4;2;3.6994e-05
150;4;3;4.0837e-05
150;4;0;3.8283e-05
150;4;1;4.0652e-05
200;4;3;7.056e-05
200;4;0;6.2569e-05
200;4;1;7.1592e-05
200;4;2;6.3441e-05
50;8;1;2.959e-06
50;8;2;2.833e-06
50;8;3;2.853e-06
50;8;4;2.812e-06
50;8;5;2.799e-06
50;8;6;2.819e-06
50;8;7;2.722e-06
50;8;0;2.588e-06
100;8;3;9.905e-06
100;8;4;8.783e-06
100;8;5;9.622e-06
100;8;6;9.154e-06
100;8;7;9.555e-06
100;8;0;8.827e-06
100;8;1;9.762e-06
100;8;2;9.148e-06
150;8;1;2.1765e-05
150;8;2;1.9368e-05
150;8;3;2.1304e-05
150;8;4;2.0123e-05
150;8;5;2.4947e-05
150;8;6;2.1071e-05
150;8;0;1.9834e-05
150;8;7;2.1769e-05
200;8;2;3.5048e-05
200;8;3;3.7602e-05
200;8;1;3.7567e-05
200;8;4;3.5138e-05
200;8;5;4.487e-05
200;8;6;3.5414e-05
200;8;7;3.6387e-05
200;8;0;3.4108e-05
50;12;1;2.307e-06
50;12;2;2.075e-06
50;12;3;2.102e-06
50;12;4;2.156e-06
50;12;5;2.058e-06
50;12;6;2.114e-06
50;12;7;2.223e-06
50;12;8;2.068e-06
50;12;9;2.158e-06
50;12;10;2.113e-06
50;12;0;1.837e-06
50;12;11;2.076e-06
100;12;1;6.657e-06
100;12;2;6.191e-06
100;12;3;6.463e-06
100;12;4;6.224e-06
100;12;5;6.541e-06
100;12;7;6.925e-06
100;12;8;6.346e-06
100;12;9;6.979e-06
100;12;10;6.196e-06
100;12;11;6.743e-06
100;12;0;6.169e-06
100;12;6;6.197e-06
150;12;1;1.4937e-05
150;12;2;1.3599e-05
150;12;3;1.4796e-05
150;12;4;1.3661e-05
150;12;5;1.4801e-05
150;12;6;1.358e-05
150;12;7;1.5323e-05
150;12;8;1.3905e-05
150;12;9;1.4826e-05
150;12;10;1.3674e-05
150;12;0;1.3842e-05
150;12;11;1.4745e-05
200;12;1;2.5132e-05
200;12;2;2.3858e-05
200;12;3;2.4537e-05
200;12;4;2.3963e-05
200;12;5;2.5119e-05
200;12;6;2.4143e-05
200;12;7;2.5395e-05
200;12;8;2.406e-05
200;12;10;2.4264e-05
200;12;9;2.5607e-05
200;12;11;2.486e-05
200;12;0;2.3579e-05
50;16;1;1.654e-06
50;16;2;2.252e-06
50;16;3;1.806e-06
50;16;4;1.686e-06
50;16;5;1.703e-06
50;16;6;1.733e-06
50;16;7;1.718e-06
50;16;8;1.695e-06
50;16;9;1.678e-06
50;16;10;1.729e-06
50;16;11;1.748e-06
50;16;12;1.72e-06
50;16;13;1.652e-06
50;16;14;1.839e-06
50;16;15;1.732e-06
50;16;0;1.514e-06
100;16;3;4.964e-06
100;16;4;5.585e-06
100;16;5;5.134e-06
100;16;1;4.916e-06
100;16;2;5.399e-06
100;16;6;4.731e-06
100;16;7;5.28e-06
100;16;8;4.931e-06
100;16;9;4.711e-06
100;16;10;5.685e-06
100;16;12;5.621e-06
100;16;13;5.637e-06
100;16;14;4.923e-06
100;16;15;4.821e-06
100;16;0;4.659e-06
100;16;11;5.978e-06
150;16;1;1.1624e-05
150;16;2;1.1416e-05
150;16;3;1.1981e-05
150;16;4;1.0284e-05
150;16;5;1.1114e-05
150;16;6;1.0365e-05
150;16;7;1.2624e-05
150;16;8;1.1277e-05
150;16;9;1.0654e-05
150;16;10;1.1159e-05
150;16;11;1.1681e-05
150;16;13;1.1681e-05
150;16;12;1.2316e-05
150;16;14;1.1471e-05
150;16;15;1.1041e-05
150;16;0;1.0839e-05
200;16;3;2.0906e-05
200;16;1;2.1004e-05
200;16;2;2.0804e-05
200;16;4;1.9109e-05
200;16;5;2.0307e-05
200;16;6;1.9255e-05
200;16;7;2.0041e-05
200;16;8;2.0619e-05
200;16;9;2.07e-05
200;16;10;2.1126e-05
200;16;11;2.1636e-05
200;16;12;1.9551e-05
200;16;13;1.8822e-05
200;16;14;2.0134e-05
200;16;15;1.8896e-05
200;16;0;1.8906e-05
50;24;1;1.281e-06
50;24;2;1.594e-06
50;24;3;1.3e-06
50;24;4;1.161e-06
50;24;5;1.337e-06
50;24;6;1.24e-06
50;24;7;1.325e-06
50;24;8;1.277e-06
50;24;9;1.341e-06
50;24;10;1.311e-06
50;24;11;1.332e-06
50;24;12;1.299e-06
50;24;13;1.234e-06
50;24;14;1.294e-06
50;24;15;1.238e-06
50;24;16;1.261e-06
50;24;17;1.273e-06
50;24;18;1.325e-06
50;24;19;1.277e-06
50;24;20;1.251e-06
50;24;21;1.337e-06
50;24;22;1.226e-06
50;24;23;1.279e-06
50;24;0;1.233e-06
100;24;1;3.813e-06
100;24;2;3.577e-06
100;24;3;3.843e-06
100;24;4;3.335e-06
100;24;5;3.337e-06
100;24;6;3.891e-06
100;24;7;3.314e-06
100;24;8;3.679e-06
100;24;9;3.42e-06
100;24;10;3.396e-06
