nx;np;time
50;1;1.8605e-05
100;1;6.2352e-05
150;1;0.000154119
200;1;0.000277745
50;2;2.1981e-05
100;2;7.1866e-05
150;2;0.000175025
200;2;0.00029329
50;4;2.2387e-05
100;4;8.5457e-05
150;4;0.000169642
200;4;0.000300089
50;8;2.4253e-05
100;8;8.0929e-05
150;8;0.000177828
200;8;0.00032883
50;12;2.5719e-05
100;12;8.3423e-05
150;12;0.00018348
200;12;0.000319799
50;16;2.5651e-05
100;16;8.4497e-05
150;16;0.000228732
200;16;0.000327067
50;24;2.4628e-05
100;24;9.1159e-05
150;24;0.000181023
200;24;0.000399761
