nx;np;time
50;1;1.61692e-05
100;1;6.09162e-05
150;1;0.000150233
200;1;0.000247912
50;2;1.68891e-05
100;2;6.49781e-05
150;2;0.000144711
200;2;0.000259126
50;4;1.6856e-05
100;4;7.87729e-05
150;4;0.000145334
200;4;0.000252305
50;8;1.79801e-05
100;8;6.95609e-05
150;8;0.000157504
200;8;0.000278096
50;12;2.1189e-05
100;12;6.9286e-05
150;12;0.000155128
200;12;0.000278767
50;16;1.79568e-05
100;16;7.0231e-05
150;16;0.000155702
200;16;0.000317715
50;24;1.78721e-05
100;24;6.93761e-05
150;24;0.000155178
200;24;0.000279377
