nx;np;time
50;1;1.8946e-05
100;1;6.7138e-05
150;1;0.000149972
200;1;0.000274759
50;2;2.2278e-05
100;2;7.1739e-05
150;2;0.000173723
200;2;0.000301134
50;4;2.2526e-05
100;4;7.2612e-05
150;4;0.000172395
200;4;0.000293383
50;8;2.5102e-05
100;8;7.9598e-05
150;8;0.000175909
200;8;0.000316312
50;12;2.4674e-05
100;12;8.0586e-05
150;12;0.000184697
200;12;0.000409067
50;16;3.2952e-05
100;16;8.1932e-05
150;16;0.000242641
200;16;0.000319037
50;24;2.4594e-05
100;24;8.772e-05
150;24;0.000219384
200;24;0.000361266
