nx,np,MPI_SpMV_time,SpMV_time
50,1,2.6103e-05,8.2149e-05
50,2,2.7082e-05,8.6897e-05
50,4,2.5933e-05,8.2869e-05
50,8,2.8246e-05,9.7852e-05
50,12,2.8313e-05,0.000107399
50,16,2.8102e-05,0.000106868
50,24,2.828e-05,0.000111402
100,1,0.000101582,0.000128975
100,2,0.000104521,0.000147479
100,4,0.000104409,0.000141119
100,8,0.000109075,0.000158906
100,12,0.000111613,0.000168929
100,16,0.000112365,0.000170332
100,24,0.000111709,0.000182882
150,1,0.000241184,0.000220728
150,2,0.000253517,0.000244045
150,4,0.000249639,0.000231872
150,8,0.000265789,0.000258007
150,12,0.000273603,0.000271446
150,16,0.000276831,0.000268882
150,24,0.00027521,0.000277281
200,1,0.00084795,0.000368472
200,2,0.000874762,0.000419024
200,4,0.000866936,0.000373172
200,8,0.000909463,0.000412914
200,12,0.00088428,0.00042782
200,16,0.000901104,0.000420652
200,24,0.00089715,0.000414975
