np,nx,seq,mpi,spd
1,50,0.00673238,0.0571812,0.117738
1,100,0.102206,0.879854,0.116163
1,150,0.521251,4.44141,0.117362
1,200,1.64946,15.9822,0.103206
2,50,0.00668945,0.0422616,0.158287
2,100,0.107944,0.690707,0.156281
2,150,0.523171,3.47975,0.150347
2,200,1.64807,12.574,0.131069
4,50,0.00623288,0.0253487,0.245886
4,100,0.0963202,0.401604,0.239839
4,150,0.486051,2.00801,0.242056
4,200,1.54915,6.3107,0.24548
8,50,0.0067335,0.0182338,0.369287
8,100,0.107704,0.305476,0.352578
8,150,0.539972,1.54764,0.3489
8,200,1.70578,4.79631,0.355644
12,50,0.00693714,0.0168556,0.411564
12,100,0.109527,0.27453,0.39896
12,150,0.554175,1.37866,0.401966
12,200,1.75039,4.34528,0.402826
16,50,0.00694037,0.0170393,0.407314
16,100,0.109591,0.260322,0.420984
16,150,0.553301,1.29804,0.426258
16,200,1.7493,4.09121,0.427575
24,50,0.00677687,0.0152633,0.443998
24,100,0.107266,0.2443,0.439074
24,150,0.553525,1.24893,0.443201
24,200,1.7505,3.93114,0.44529
