np	nx	Time_SEQ	Time_MPI	Acceleration	
1	50	1.5888e-05	1.9049e-05	1.19896
1	100	5.806e-05	6.1773e-05	1.06395
1	150	0.00012589	0.000128842	1.02345
1	200	0.000213987	0.000218462	1.02091
2	50	7.673e-06	1.7025e-05	2.21882
2	100	2.9872e-05	6.2201e-05	2.08225
2	150	6.4615e-05	0.000136464	2.11196
2	200	0.000120005	0.000243096	2.02572
4	50	3.875e-06	1.7417e-05	4.49471
4	100	1.5128e-05	6.2329e-05	4.12011
4	150	3.0194e-05	0.000119795	3.96751
4	200	5.4256e-05	0.000232613	4.28732
8	50	2.327e-06	1.7551e-05	7.54233
8	100	7.958e-06	6.375e-05	8.01081
8	150	1.8326e-05	0.000137091	7.48068
8	200	3.0408e-05	0.000250855	8.24964
12	50	1.579e-06	1.7221e-05	10.9063
12	100	5.448e-06	6.2291e-05	11.4337
12	150	1.1636e-05	0.000136951	11.7696
12	200	2.0421e-05	0.000249995	12.2421
16	50	1.29e-06	1.702e-05	13.1938
16	100	4.11e-06	6.254e-05	15.2165
16	150	8.766e-06	0.000136123	15.5285
16	200	1.5467e-05	0.000243875	15.7674
24	50	1.022e-06	1.7289e-05	16.9168
24	100	2.91e-06	6.2178e-05	21.367
24	150	5.978e-06	0.000136251	22.7921
24	200	1.0336e-05	0.000240664	23.2841
