nx;np;num_p;time
50;1;0;1.5535e-05
100;1;0;6.0869e-05
150;1;0;0.000136257
200;1;0;0.000242213
50;2;1;8.629e-06
50;2;0;8.65e-06
100;2;1;3.1623e-05
100;2;0;3.4271e-05
150;2;1;7.2744e-05
150;2;0;7.1398e-05
200;2;1;0.000126421
200;2;0;0.000125675
50;4;0;4.408e-06
50;4;1;5.142e-06
50;4;2;4.543e-06
50;4;3;5.012e-06
100;4;1;2.756e-05
100;4;2;1.628e-05
100;4;3;1.9783e-05
100;4;0;1.5928e-05
150;4;3;4.0908e-05
150;4;0;3.5864e-05
150;4;1;3.9977e-05
150;4;2;3.5754e-05
200;4;3;7.0815e-05
200;4;0;6.3809e-05
200;4;1;7.165e-05
200;4;2;6.3366e-05
50;8;1;2.938e-06
50;8;2;2.667e-06
50;8;3;2.818e-06
50;8;4;2.683e-06
50;8;5;2.824e-06
50;8;6;2.63e-06
50;8;0;2.699e-06
50;8;7;2.83e-06
100;8;0;8.797e-06
100;8;1;9.865e-06
100;8;2;9.244e-06
100;8;3;1.0259e-05
100;8;4;8.848e-06
100;8;5;9.849e-06
100;8;6;8.834e-06
100;8;7;1.0035e-05
150;8;3;2.1567e-05
150;8;4;2.061e-05
150;8;5;2.1348e-05
150;8;6;2.011e-05
150;8;1;2.1256e-05
150;8;2;2.0008e-05
150;8;0;1.9396e-05
150;8;7;2.3021e-05
200;8;3;3.723e-05
200;8;1;3.7197e-05
200;8;2;3.5453e-05
200;8;4;3.538e-05
200;8;5;3.7169e-05
200;8;6;3.6283e-05
200;8;7;3.6124e-05
200;8;0;4.7227e-05
50;12;1;2.193e-06
50;12;2;2.116e-06
50;12;3;2.08e-06
50;12;4;2.047e-06
50;12;5;2.127e-06
50;12;6;2.031e-06
50;12;7;2.092e-06
50;12;8;2.086e-06
50;12;9;2.366e-06
50;12;10;2.083e-06
50;12;11;2.473e-06
50;12;0;1.896e-06
100;12;10;6.245e-06
100;12;11;6.578e-06
100;12;0;6.193e-06
100;12;1;6.435e-06
100;12;2;6.323e-06
100;12;3;6.436e-06
100;12;4;6.372e-06
100;12;5;6.484e-06
100;12;6;6.252e-06
100;12;7;6.55e-06
100;12;8;6.242e-06
100;12;9;6.593e-06
150;12;1;1.503e-05
150;12;2;1.3528e-05
150;12;3;1.4838e-05
150;12;4;1.3814e-05
150;12;5;1.6158e-05
150;12;6;1.4045e-05
150;12;7;1.4514e-05
150;12;8;1.372e-05
150;12;9;1.4493e-05
150;12;10;1.3875e-05
150;12;11;1.4471e-05
150;12;0;1.3375e-05
200;12;1;2.4613e-05
200;12;2;2.3943e-05
200;12;3;2.494e-05
200;12;4;2.6954e-05
200;12;5;2.4543e-05
200;12;6;2.3846e-05
200;12;7;2.5036e-05
200;12;8;2.4021e-05
200;12;9;2.5256e-05
200;12;10;2.4778e-05
200;12;11;2.5001e-05
200;12;0;2.3931e-05
50;16;1;1.76e-06
50;16;2;2.079e-06
50;16;3;1.777e-06
50;16;4;1.868e-06
50;16;5;1.707e-06
50;16;6;1.549e-06
50;16;7;1.717e-06
50;16;8;1.658e-06
50;16;9;1.804e-06
50;16;10;1.656e-06
50;16;11;1.694e-06
50;16;12;1.792e-06
50;16;13;1.824e-06
50;16;14;1.686e-06
50;16;15;1.757e-06
50;16;0;1.892e-06
100;16;1;5.43e-06
100;16;2;4.857e-06
100;16;3;5.896e-06
100;16;4;4.94e-06
100;16;5;5.747e-06
100;16;6;5.821e-06
100;16;7;4.943e-06
100;16;8;5.925e-06
100;16;9;4.944e-06
100;16;10;5.555e-06
100;16;11;4.919e-06
100;16;12;4.768e-06
100;16;13;5.093e-06
100;16;14;4.817e-06
100;16;15;4.792e-06
100;16;0;4.837e-06
150;16;1;1.0207e-05
150;16;2;1.2137e-05
150;16;3;1.0277e-05
150;16;4;1.0527e-05
150;16;5;1.0967e-05
150;16;6;1.0521e-05
150;16;7;1.3763e-05
150;16;10;1.1128e-05
150;16;8;1.265e-05
150;16;9;1.7006e-05
150;16;11;1.0691e-05
150;16;12;1.172e-05
150;16;13;1.1461e-05
150;16;14;1.0744e-05
150;16;15;1.026e-05
150;16;0;1.0509e-05
200;16;1;2.0715e-05
200;16;2;2.1357e-05
200;16;3;2.1059e-05
200;16;4;1.8208e-05
200;16;5;1.8994e-05
200;16;6;2.1565e-05
200;16;7;1.9649e-05
200;16;8;1.9113e-05
200;16;9;1.9434e-05
200;16;11;2.0778e-05
200;16;12;1.9411e-05
200;16;13;2.0429e-05
200;16;14;1.8902e-05
200;16;0;1.9518e-05
200;16;15;1.8852e-05
200;16;10;1.9226e-05
50;24;1;1.257e-06
50;24;2;1.337e-06
50;24;3;1.343e-06
50;24;4;1.224e-06
50;24;5;1.681e-06
50;24;6;1.359e-06
50;24;7;1.197e-06
50;24;8;1.234e-06
50;24;9;1.34e-06
50;24;10;1.292e-06
50;24;11;1.277e-06
50;24;12;1.206e-06
50;24;13;1.262e-06
50;24;14;1.293e-06
50;24;15;1.439e-06
50;24;16;1.198e-06
50;24;17;1.245e-06
50;24;18;1.169e-06
50;24;19;1.12e-06
50;24;20;1.184e-06
50;24;21;1.207e-06
50;24;22;1.152e-06
50;24;23;1.288e-06
50;24;0;1.274e-06
100;24;1;3.411e-06
100;24;2;4.076e-06
100;24;3;3.758e-06
100;24;4;3.337e-06
100;24;5;4.374e-06
100;24;6;3.924e-06
100;24;7;4.214e-06
100;24;8;3.334e-06
100;24;9;3.49e-06
100;24;10;3.865e-06
100;24;11;4.121e-06
100;24;12;3.5e-06
100;24;13;3.382e-06
100;24;14;3.954e-06
100;24;15;4.2e-06
100;24;16;4.037e-06
100;24;17;3.245e-06
100;24;18;3.934e-06
100;24;19;3.644e-06
100;24;20;3.337e-06
100;24;21;3.325e-06
100;24;22;3.396e-06
100;24;23;3.505e-06
100;24;0;3.503e-06
150;24;1;9.473e-06
150;24;2;8.944e-06
150;24;3;7.658e-06
150;24;4;7.478e-06
150;24;5;8.001e-06
150;24;6;7.508e-06
150;24;7;9.258e-06
150;24;8;8.66e-06
150;24;9;8.866e-06
150;24;10;9.367e-06
150;24;11;8.9e-06
150;24;12;8.17e-06
150;24;13;8.175e-06
150;24;14;8.009e-06
150;24;15;7.811e-06
150;24;16;9.019e-06
150;24;17;8.203e-06
150;24;18;8.197e-06
150;24;19;6.95e-06
150;24;22;7.941e-06
150;24;23;8.857e-06
150;24;20;9.027e-06
150;24;21;8.313e-06
150;24;0;7.642e-06
200;24;1;1.4481e-05
200;24;2;1.5206e-05
200;24;3;1.2563e-05
200;24;4;1.2128e-05
200;24;5;1.2618e-05
200;24;6;1.3461e-05
200;24;7;1.3151e-05
200;24;8;1.2827e-05
200;24;9;1.4303e-05
200;24;10;1.3263e-05
200;24;11;1.262e-05
200;24;12;1.3124e-05
200;24;13;1.3707e-05
200;24;15;1.2931e-05
200;24;14;1.5249e-05
200;24;16;1.357e-05
200;24;17;1.3949e-05
200;24;18;1.3099e-05
200;24;19;1.3003e-05
200;24;20;1.5224e-05
200;24;21;1.4465e-05
200;24;22;1.3044e-05
200;24;23;1.5094e-05
200;24;0;1.4029e-05
